in_dma_act,200704,207872,200704,200704,802816,207872,200704,802816,207872,200704,802816,415744,100352,802816,401408,107520,100352,401408,107520,100352,401408,107520,100352,401408,215040,50176,802816,200704,50176,50176,200704,50176,50176,200704,50176,50176,200704,50176,50176,200704,50176,50176,200704,100352,25088,200704,100352,25088,25088,100352,25088,25088
in_dma_wgt,4096,36864,16384,16384,16384,36864,16384,16384,36864,16384,32768,147456,65536,131072,65536,147456,65536,65536,147456,65536,65536,147456,65536,131072,589824,262144,524288,262144,589824,262144,262144,589824,262144,262144,589824,262144,262144,589824,262144,262144,589824,262144,524288,2359296,1048576,2097152,1048576,2359296,1048576,1048576,2359296,1048576
out_dma_act,200704,186624,802816,802816,200704,186624,802816,200704,186624,802816,401408,387200,401408,1605632,100352,86528,401408,100352,86528,401408,100352,86528,401408,200704,186624,200704,802816,50176,36864,200704,50176,36864,200704,50176,36864,200704,50176,36864,200704,50176,36864,200704,100352,86528,100352,401408,25088,12800,100352,25088,12800,100352
mem_wgt,4096,36864,16384,16384,16384,36864,16384,16384,36864,16384,32768,147456,65536,131072,65536,147456,65536,65536,147456,65536,65536,147456,65536,131072,589824,143360,286720,179200,589824,143360,179200,589824,143360,179200,589824,143360,179200,589824,143360,179200,589824,143360,358400,2359296,286720,392000,358400,2359296,286720,358400,2359296,286720
mem_in_act,14400,14400,14400,14400,57600,14400,14400,57600,14400,14400,57600,28800,28800,57600,115200,28800,28800,115200,28800,28800,115200,28800,28800,115200,57600,50176,115200,137200,50176,50176,137200,50176,50176,137200,50176,50176,137200,50176,50176,137200,50176,50176,137200,100352,25088,137200,34300,25088,25088,34300,25088,25088
mem_out_act,200704,186624,802816,802816,200704,186624,802816,200704,186624,802816,401408,387200,401408,1605632,100352,86528,401408,100352,86528,401408,100352,86528,401408,200704,186624,200704,802816,50176,36864,200704,50176,36864,200704,50176,36864,200704,50176,36864,200704,50176,36864,200704,100352,86528,100352,401408,25088,12800,100352,25088,12800,100352
mem_partial_product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50176,0,0,50176,0,0,50176,0,0,50176,0,0,50176,0,0,100352,0,0,401408,25088,0,0,25088,0,0
mem_wgt_accesses,4096,36864,16384,16384,16384,36864,16384,16384,36864,16384,32768,147456,65536,131072,65536,147456,65536,65536,147456,65536,65536,147456,65536,131072,589824,262144,524288,262144,589824,262144,262144,589824,262144,262144,589824,262144,262144,589824,262144,262144,589824,262144,524288,2359296,1048576,2097152,1048576,2359296,1048576,1048576,2359296,1048576
mem_in_act_accesses,401408,742400,401408,401408,1605632,742400,401408,1605632,742400,401408,1605632,994816,200704,1232896,802816,384000,200704,802816,384000,200704,802816,384000,200704,802816,514560,150528,1232896,401408,179200,150528,401408,179200,150528,401408,179200,150528,401408,179200,150528,401408,179200,150528,401408,236544,125440,659456,200704,78848,125440,200704,78848,125440
mem_out_act_accesses,401408,340224,1605632,1605632,401408,340224,1605632,401408,340224,1605632,802816,566912,802816,2465792,200704,166400,802816,200704,166400,802816,200704,166400,802816,401408,279808,401408,1232896,150528,73728,401408,150528,73728,401408,150528,73728,401408,150528,73728,401408,150528,73728,401408,301056,126464,200704,802816,100352,25600,200704,100352,25600,200704
