,DRAM,Energy,Latency,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,hxx,mac_utilization,pw1_engines,pw2_engines,total_mac_units,wxx
0,9986457600.0,18311719576.32,604560.0,5599225221.12,2726036755.2,HWFCScheduleCC_hwcf,3088.0,407.09,560.0,700.0,560.0,resnet50_1,0.0,560.0,700.0,15.0,83.36,7.0,9.0,784.0,15.0
1,12992716800.0,24087593706.24,807447.375,7647264215.04,3447612691.2,HWCFScheduleCC_hwcf,3088.0,491.67,560.0,700.0,560.0,resnet50_1,0.0,560.0,700.0,15.0,85.0,7.0,9.0,784.0,15.0
2,8186649600.0,15823700136.96,553647.0,5323064862.72,2313985674.24,FCHWScheduleCC_hwcf,3088.0,356.58,560.0,700.0,560.0,resnet50_1,0.0,560.0,700.0,15.0,82.86,7.0,9.0,784.0,15.0
3,8489140800.0,16502623439.36,581956.125,5599839312.0,2413643327.36,CFHWScheduleCC_hwcf,3088.0,354.79,560.0,700.0,560.0,resnet50_1,0.0,560.0,700.0,15.0,83.37,7.0,9.0,784.0,15.0
4,7611417600.0,15488022755.84,601694.0,5888348943.36,1988256212.48,Tangram_hwcf,2606.98,271.67,560.0,700.0,560.0,resnet50_1,0.0,560.0,700.0,15.0,83.43,7.0,9.0,784.0,15.0
5,9429401600.0,16040880696.32,590755.0,4672625418.24,1938853678.08,HWFCSchedule,2550.48,390.91,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,74.39,16.0,0.0,784.0,15.0
6,9429401600.0,21642964290.559998,598676.0,10274709012.48,1938853678.08,HWFCSchedule,2550.48,352.9,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,45.28,16.0,0.0,12544.0,15.0
7,9308979200.0,21662482242.559998,589268.0,10274709012.48,2078794030.08,HWCFSchedule2,2633.98,347.03,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,45.28,16.0,0.0,12544.0,15.0
8,9308979200.0,16060398648.32,581347.0,4672625418.24,2078794030.08,HWCFSchedule2,2633.98,384.41,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,74.39,16.0,0.0,784.0,15.0
9,9552204800.0,16904074803.199999,668197.125,4672625418.24,2679244584.96,FCHWSchedule,4005.98,419.34,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,75.25,16.0,0.0,784.0,15.0
10,9552204800.0,22506158397.44,676261.125,10274709012.48,2679244584.96,FCHWSchedule,4005.98,379.4,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,47.01,16.0,0.0,12544.0,15.0
11,9431782400.0,16771459635.199999,558536.0,4672625418.24,2667051816.96,CFHWSchedule,4005.98,371.76,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,74.39,16.0,0.0,784.0,15.0
12,9431782400.0,22373543229.44,566600.0,10274709012.48,2667051816.96,CFHWSchedule,4005.98,335.61,560.0,700.0,0.0,resnet50_1,16.0,560.0,0.0,15.0,45.28,16.0,0.0,12544.0,15.0
