in_dma_act,200704,200704,602112,602112,802816,200704,602112,802816,200704,602112,1605632,802816,501760,4014080,802816,200704,501760,802816,200704,501760,802816,200704,501760,1204224,602112,501760,4014080,602112,150528,501760,602112,150528,501760,602112,150528,501760,602112,150528,501760,602112,150528,501760,1003520,501760,476672,3813376,501760,125440,476672,501760,125440,476672
in_dma_wgt,512,512,256,256,2048,512,256,2048,512,256,512,256,1024,2048,128,256,1024,128,256,1024,128,256,1024,256,1024,512,128,512,1024,512,512,1024,512,512,1024,512,512,1024,512,512,1024,512,1024,512,256,512,2048,512,256,2048,512,256
out_dma_act,401408,401408,1605632,1605632,1003520,401408,1605632,1003520,401408,1605632,2007040,1204224,1204224,8028160,1003520,301056,1204224,1003520,301056,1204224,1003520,301056,1204224,2007040,1003520,1003520,8028160,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,1906688,1003520,1003520,7626752,928256,250880,1003520,928256,250880,1003520
mem_wgt,3584,3584,6272,6272,3584,3584,6272,3584,3584,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272
mem_in_act,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
mem_out_act,3584,10752,6272,6272,3584,10752,6272,3584,10752,6272,6272,9408,3136,3136,3136,9408,3136,3136,9408,3136,3136,9408,3136,3136,4704,1568,1568,1568,4704,1568,1568,4704,1568,1568,4704,1568,1568,4704,1568,1568,4704,1568,1568,2352,784,784,784,2352,784,784,2352,784
mem_partial_product,64,64,112,112,64,64,112,64,64,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
mem_wgt_accesses,12845056,12845056,51380224,51380224,51380224,12845056,51380224,51380224,12845056,51380224,102760448,51380224,51380224,411041792,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,102760448,51380224,51380224,411041792,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,102760448,51380224,51380224,411041792,51380224,12845056,51380224,51380224,12845056,51380224
mem_in_act_accesses,602112,602112,2207744,2207744,1806336,602112,2207744,1806336,602112,2207744,3612672,2007040,1705984,12042240,1806336,501760,1705984,1806336,501760,1705984,1806336,501760,1705984,3211264,1605632,1505280,12042240,1555456,401408,1505280,1555456,401408,1505280,1555456,401408,1505280,1555456,401408,1505280,1555456,401408,1505280,2910208,1505280,1480192,11440128,1430016,376320,1480192,1430016,376320,1480192
mem_out_act_accesses,401408,401408,1605632,1605632,1003520,401408,1605632,1003520,401408,1605632,2007040,1204224,1204224,8028160,1003520,301056,1204224,1003520,301056,1204224,1003520,301056,1204224,2007040,1003520,1003520,8028160,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,1906688,1003520,1003520,7626752,928256,250880,1003520,928256,250880,1003520
mem_partial_product_acceses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_rf_act_accesses,602112,602112,2207744,2207744,1806336,602112,2207744,1806336,602112,2207744,3612672,2007040,1705984,12042240,1806336,501760,1705984,1806336,501760,1705984,1806336,501760,1705984,3211264,1605632,1505280,12042240,1555456,401408,1505280,1555456,401408,1505280,1555456,401408,1505280,1555456,401408,1505280,1555456,401408,1505280,2910208,1505280,1480192,11440128,1430016,376320,1480192,1430016,376320,1480192
out_rf_act_accesses,401408,401408,1605632,1605632,1003520,401408,1605632,1003520,401408,1605632,2007040,1204224,1204224,8028160,1003520,301056,1204224,1003520,301056,1204224,1003520,301056,1204224,2007040,1003520,1003520,8028160,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,953344,250880,1003520,1906688,1003520,1003520,7626752,928256,250880,1003520,928256,250880,1003520
wgt_rf_accesses,12845056,12845056,51380224,51380224,51380224,12845056,51380224,51380224,12845056,51380224,102760448,51380224,51380224,411041792,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,102760448,51380224,51380224,411041792,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,51380224,12845056,51380224,102760448,51380224,51380224,411041792,51380224,12845056,51380224,51380224,12845056,51380224
in_rf_act_size,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
out_rf_act_size,64,64,112,112,64,64,112,64,64,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
wgt_rf_size,3584,3584,6272,6272,3584,3584,6272,3584,3584,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272
padd_ops,200704,200704,802816,802816,802816,200704,802816,802816,200704,802816,1605632,802816,802816,6422528,903168,200704,802816,903168,200704,802816,903168,200704,802816,1806336,802816,802816,7225344,903168,200704,802816,903168,200704,802816,903168,200704,802816,903168,200704,802816,903168,200704,802816,1806336,903168,903168,7225344,903168,225792,903168,903168,225792,903168
padd_cycles_max_per_batch,64,64,112,112,64,64,112,64,64,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
padd_util_cycles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
padd_cycles,200704,200704,802816,802816,802816,200704,802816,802816,200704,802816,1605632,802816,802816,6422528,903168,200704,802816,903168,200704,802816,903168,200704,802816,1806336,802816,802816,7225344,903168,200704,802816,903168,200704,802816,903168,200704,802816,903168,200704,802816,903168,200704,802816,1806336,903168,903168,7225344,903168,225792,903168,903168,225792,903168
padd_units_available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_padd_units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mac_util_cycles,6684671,6684671,42614783,42614783,28311551,6684671,42614783,28311551,6684671,42614783,88473599,42598400,45154304,375128064,46079999,10649599,45154304,46079999,10649599,45154304,46079999,10649599,45154304,94003200,45121535,48881664,407347199,47106047,11280384,48881664,47106047,11280384,48881664,47106047,11280384,48881664,47106047,11280384,48881664,47106047,11280384,48881664,97906687,48844800,51033599,409176063,49170432,12211199,51033599,49170432,12211199,51033599
total_mac_units,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272,6272
