,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,2207362000.0,572739980.16,840260118.0,HWFC_SchedulePDP_hwcf,580.76,47.44,112.0,112.0,84.0,efficientnet-b0,2.0,56.0,42.0,240297.5,45.0,46.57,8.0,6.0,3620362098.16,784.0,45.0
1,2128362000.0,573351108.96,1174713722.35,HWFC_SchedulePDP_hwcf,1625.8,47.73,224.0,56.0,84.0,efficientnet-b0,2.0,112.0,42.0,240717.625,112.0,38.46,8.0,6.0,3876426831.31,784.0,112.0
2,2070346000.0,571248036.96,1181223482.43,HWFC_SchedulePDP_hwcf,1586.76,42.64,224.0,56.0,42.0,efficientnet-b0,2.0,112.0,84.0,246335.40625,112.0,27.0,8.0,6.0,3822817519.3900003,784.0,112.0
3,2168160400.0,610637245.44,505645062.0,HWFC_SchedulePDP_hwcf,214.24,35.44,112.0,112.0,42.0,efficientnet-b0,2.0,56.0,84.0,264972.0,18.0,42.61,8.0,6.0,3284442707.44,784.0,18.0
4,2682140400.0,739732232.64,269634996.0,HWFC_SchedulePDP_hwcf,80.99,27.34,112.0,112.0,42.0,efficientnet-b0,2.0,56.0,84.0,423601.5,9.0,41.65,8.0,6.0,3691507628.64,784.0,9.0
5,2112296400.0,569515580.16,817095729.0,HWFC_SchedulePDP_hwcf,583.05,40.35,112.0,112.0,42.0,efficientnet-b0,2.0,56.0,84.0,247059.0,45.0,40.73,8.0,6.0,3498907709.16,784.0,45.0
6,2066030800.0,576257155.2,990270052.5,HWFC_SchedulePDP_hwcf,739.88,42.37,224.0,56.0,42.0,efficientnet-b0,2.0,112.0,84.0,239345.40625,56.0,27.41,8.0,6.0,3632558007.7,784.0,56.0
7,2196666000.0,629016458.88,519517071.0,HWFC_SchedulePDP_hwcf,214.54,39.86,224.0,56.0,84.0,efficientnet-b0,2.0,112.0,42.0,255115.125,18.0,42.21,8.0,6.0,3345199529.88,784.0,18.0
8,2198531600.0,557895408.48,1173984437.45,HWFC_SchedulePDP_hwcf,1219.45,49.25,112.0,112.0,84.0,efficientnet-b0,2.0,56.0,42.0,252573.5,112.0,45.79,8.0,6.0,3930411445.93,784.0,112.0
9,2079560400.0,586020424.32,861965890.5,HWFC_SchedulePDP_hwcf,540.37,41.31,224.0,56.0,42.0,efficientnet-b0,2.0,112.0,84.0,235630.40625,45.0,28.6,8.0,6.0,3527546714.82,784.0,45.0
10,2206123600.0,576535091.52,835774261.5,HWFC_SchedulePDP_hwcf,536.32,46.79,112.0,112.0,84.0,efficientnet-b0,2.0,56.0,42.0,242007.5,36.0,46.73,8.0,6.0,3618432953.02,784.0,36.0
11,2103242000.0,554671008.48,1169145801.57,HWFC_SchedulePDP_hwcf,1221.74,41.61,112.0,112.0,42.0,efficientnet-b0,2.0,56.0,84.0,264031.0,112.0,39.73,8.0,6.0,3827058810.0499997,784.0,112.0
