,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,2178568000.0,582414272.64,163170000.0,HWFC_SchedulePDP_hwcf,36.14,24.55,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,333712.65625,9.0,33.98,8.0,6.0,2924152272.64,784.0,9.0
1,1514361600.0,420222001.92,445036140.0,HWFC_SchedulePDP_hwcf,248.45,31.27,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,171449.0,36.0,48.18,8.0,6.0,2379619741.92,784.0,36.0
2,1560596800.0,467885263.68,224347356.0,HWFC_SchedulePDP_hwcf,92.62,29.4,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,184694.375,18.0,43.08,8.0,6.0,2252829419.68,784.0,18.0
3,1499901600.0,398016433.44,938114180.83,HWFC_SchedulePDP_hwcf,1172.74,27.49,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,220580.125,112.0,32.25,8.0,6.0,2836032214.27,784.0,112.0
4,2148897600.0,585101120.64,161151120.0,HWFC_SchedulePDP_hwcf,37.91,26.06,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,316879.375,9.0,43.32,8.0,6.0,2895149840.64,784.0,9.0
5,1491070400.0,417336179.52,644188234.5,HWFC_SchedulePDP_hwcf,619.68,32.86,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,169314.375,56.0,40.14,8.0,6.0,2552594814.02,784.0,56.0
6,1576276800.0,457724811.84,202895292.0,HWFC_SchedulePDP_hwcf,72.95,28.69,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,187692.0,18.0,48.84,8.0,6.0,2236896903.84,784.0,18.0
7,1501958400.0,427207306.56,498908871.0,HWFC_SchedulePDP_hwcf,405.44,32.27,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,165232.375,45.0,40.81,8.0,6.0,2428074577.56,784.0,45.0
8,2164577600.0,576288040.32,163309728.0,HWFC_SchedulePDP_hwcf,35.95,25.64,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,315882.75,9.0,47.48,8.0,6.0,2904175368.32,784.0,9.0
9,1556388800.0,446142054.72,305754570.0,HWFC_SchedulePDP_hwcf,147.8,25.73,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,219646.125,27.0,33.62,8.0,6.0,2308285424.7200003,784.0,27.0
10,1517638400.0,416525033.28,447458319.0,HWFC_SchedulePDP_hwcf,381.76,31.55,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,172356.0,45.0,48.05,8.0,6.0,2381621752.2799997,784.0,45.0
11,1548644800.0,460608037.44,336888126.0,HWFC_SchedulePDP_hwcf,185.29,30.42,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,180794.375,27.0,41.47,8.0,6.0,2346140963.44,784.0,27.0
12,1498681600.0,430851843.84,430882956.0,HWFC_SchedulePDP_hwcf,265.3,31.96,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,166434.375,36.0,41.04,8.0,6.0,2360416399.84,784.0,36.0
13,1564324800.0,449972646.72,303105546.0,HWFC_SchedulePDP_hwcf,145.51,29.71,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,185716.0,27.0,47.84,8.0,6.0,2317402992.7200003,784.0,27.0
14,2187976000.0,573413032.32,166964448.0,HWFC_SchedulePDP_hwcf,36.87,22.95,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,359679.875,9.0,35.17,8.0,6.0,2928353480.32,784.0,9.0
15,1512215200.0,401809585.44,897568896.03,HWFC_SchedulePDP_hwcf,1170.45,32.25,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,182200.0,112.0,47.49,8.0,6.0,2811593681.47,784.0,112.0
16,1564001600.0,464383951.68,226238868.0,HWFC_SchedulePDP_hwcf,90.32,27.38,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,197160.65625,18.0,32.44,8.0,6.0,2254624419.68,784.0,18.0
17,1496535200.0,412623758.88,896918020.51,HWFC_SchedulePDP_hwcf,1172.74,33.02,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,172377.375,112.0,39.9,8.0,6.0,2806076979.3900003,784.0,112.0
18,1497068800.0,423602314.56,503556003.0,HWFC_SchedulePDP_hwcf,403.14,29.74,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,180857.65625,45.0,29.38,8.0,6.0,2424227117.56,784.0,45.0
19,1485720000.0,413731187.52,642737146.5,HWFC_SchedulePDP_hwcf,617.38,30.2,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,184332.65625,56.0,28.51,8.0,6.0,2542188334.02,784.0,56.0
20,1546980800.0,456965605.44,339918822.0,HWFC_SchedulePDP_hwcf,182.99,28.18,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,193968.65625,27.0,30.56,8.0,6.0,2343865227.44,784.0,27.0
