,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,2445638400.0,724972238.4,821487663.0,HWFC_SchedulePDP_hwcf,508.38,35.57,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,264883.875,45.0,22.73,8.0,6.0,3992098301.4,784.0,45.0
1,3411014400.0,769608833.28,486695724.0,HWFC_SchedulePDP_hwcf,132.2,40.44,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,370864.4375,18.0,46.02,8.0,6.0,4667318957.28,784.0,18.0
2,2398880000.0,705285096.0,1236447910.5,HWFC_SchedulePDP_hwcf,777.55,35.13,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,277994.1875,56.0,38.14,8.0,6.0,4340613006.5,784.0,56.0
3,2391229600.0,685437526.56,1510878838.51,HWFC_SchedulePDP_hwcf,1197.05,35.06,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,282879.1875,112.0,37.82,8.0,6.0,4587545965.07,784.0,112.0
4,2895763200.0,898664443.2,549810402.0,HWFC_SchedulePDP_hwcf,167.63,35.34,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,329098.875,18.0,26.04,8.0,6.0,4344238045.2,784.0,18.0
5,2892989600.0,529184592.0,1611711785.71,HWFC_SchedulePDP_hwcf,1170.45,42.32,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,322672.4375,112.0,44.47,8.0,6.0,5033885977.71,784.0,112.0
6,2862884000.0,525915492.48,1702196037.87,HWFC_SchedulePDP_hwcf,1172.74,41.14,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,323582.0,112.0,28.75,8.0,6.0,5090995530.35,784.0,112.0
7,2938457600.0,600355353.6,921971580.0,HWFC_SchedulePDP_hwcf,338.3,39.99,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,314150.0,36.0,29.46,8.0,6.0,4460784533.6,784.0,36.0
8,2455673600.0,744571598.4,832493295.0,HWFC_SchedulePDP_hwcf,510.68,34.96,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,276954.1875,45.0,38.78,8.0,6.0,4032738493.4,784.0,45.0
9,2466112000.0,756786627.84,825818748.0,HWFC_SchedulePDP_hwcf,368.05,35.11,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,274354.1875,36.0,39.15,8.0,6.0,4048717375.84,784.0,36.0
10,2928019200.0,586401388.8,929485935.0,HWFC_SchedulePDP_hwcf,479.04,40.24,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,312569.75,45.0,29.31,8.0,6.0,4443906523.8,784.0,45.0
11,2900640000.0,550123080.96,1357893478.5,HWFC_SchedulePDP_hwcf,726.26,42.24,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,306427.4375,56.0,44.64,8.0,6.0,4808656559.46,784.0,56.0
12,2905798400.0,916971259.2,556604898.0,HWFC_SchedulePDP_hwcf,169.93,36.16,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,325224.1875,18.0,41.34,8.0,6.0,4379374557.2,784.0,18.0
