,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,1265587200.0,285718191.36,829468870.5,HWFC_SchedulePDP_hwcf,742.18,28.07,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,172057.375,56.0,42.38,8.0,6.0,2380774261.86,784.0,56.0
1,1259315200.0,284981218.56,834502858.5,HWFC_SchedulePDP_hwcf,739.88,25.96,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,186994.65625,56.0,29.6,8.0,6.0,2378799277.06,784.0,56.0
2,1344688000.0,348195843.84,222252636.0,HWFC_SchedulePDP_hwcf,75.24,19.58,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,227265.625,18.0,37.33,8.0,6.0,1915136479.84,784.0,18.0
3,1251177600.0,282809078.4,489344895.0,HWFC_SchedulePDP_hwcf,381.76,24.09,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,178475.5,45.0,49.65,8.0,6.0,2023331573.4,784.0,45.0
4,2123724800.0,532235368.32,188922912.0,HWFC_SchedulePDP_hwcf,36.87,19.86,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,381128.125,9.0,38.04,8.0,6.0,2844883080.32,784.0,9.0
5,1241680000.0,282425539.2,493421703.0,HWFC_SchedulePDP_hwcf,384.05,20.77,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,209346.625,45.0,34.68,8.0,6.0,2017527242.2,784.0,45.0
6,1234489600.0,267114587.52,730257304.5,HWFC_SchedulePDP_hwcf,585.95,24.54,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,182702.5,56.0,49.09,8.0,6.0,2231861492.02,784.0,56.0
7,1286764800.0,308513034.24,551217804.0,HWFC_SchedulePDP_hwcf,315.93,27.24,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,167617.375,36.0,43.52,8.0,6.0,2146495638.24,784.0,36.0
8,1261269600.0,275836237.44,1029979054.91,HWFC_SchedulePDP_hwcf,1586.76,26.1,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,193407.65625,112.0,29.15,8.0,6.0,2567084892.35,784.0,112.0
9,1348678400.0,343592017.92,372597066.0,HWFC_SchedulePDP_hwcf,185.29,26.29,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,178911.375,27.0,44.12,8.0,6.0,2064867483.92,784.0,27.0
10,1306624000.0,325365484.8,329136750.0,HWFC_SchedulePDP_hwcf,145.51,22.94,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,193836.5,27.0,49.74,8.0,6.0,1961126234.8,784.0,27.0
11,1303142400.0,324979457.28,331935750.0,HWFC_SchedulePDP_hwcf,147.8,20.05,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,224013.625,27.0,35.48,8.0,6.0,1960057607.28,784.0,27.0
12,1277641600.0,300542296.32,558315663.0,HWFC_SchedulePDP_hwcf,482.24,25.51,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,183302.65625,45.0,30.79,8.0,6.0,2136499559.32,784.0,45.0
13,1342406400.0,342850068.48,374598522.0,HWFC_SchedulePDP_hwcf,182.99,24.39,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,194728.65625,27.0,32.33,8.0,6.0,2059854990.48,784.0,27.0
14,1223737600.0,266731048.32,736556488.5,HWFC_SchedulePDP_hwcf,588.24,21.03,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,212874.625,56.0,33.81,8.0,6.0,2227025136.82,784.0,56.0
15,1283913600.0,301279269.12,555106443.0,HWFC_SchedulePDP_hwcf,484.54,27.52,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,168505.375,45.0,43.25,8.0,6.0,2140299312.12,784.0,45.0
16,1226268000.0,257474909.76,1055210616.83,HWFC_SchedulePDP_hwcf,1172.74,21.12,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,225853.625,112.0,33.47,8.0,6.0,2538953526.59,784.0,112.0
17,1267541600.0,276573210.24,1010114647.23,HWFC_SchedulePDP_hwcf,1589.05,28.24,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,178376.375,112.0,42.01,8.0,6.0,2554229457.4700003,784.0,112.0
18,1337955200.0,348575788.8,220250412.0,HWFC_SchedulePDP_hwcf,72.95,21.99,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,196707.5,18.0,50.92,8.0,6.0,1906781400.8,784.0,18.0
19,2067916800.0,532556423.04,183567312.0,HWFC_SchedulePDP_hwcf,35.95,21.74,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,325970.0,9.0,50.79,8.0,6.0,2784040535.04,784.0,9.0
20,1243379200.0,289804853.76,490097580.0,HWFC_SchedulePDP_hwcf,250.74,20.61,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,210349.625,36.0,35.04,8.0,6.0,2023281633.76,784.0,36.0
21,2192172800.0,547897378.56,185451600.0,HWFC_SchedulePDP_hwcf,36.14,22.81,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,348255.65625,9.0,35.88,8.0,6.0,2925521778.56,784.0,9.0
22,1394448000.0,366221713.92,248777460.0,HWFC_SchedulePDP_hwcf,92.62,25.35,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,184788.375,18.0,45.74,8.0,6.0,2009447173.92,784.0,18.0
23,1280492800.0,307776061.44,554260812.0,HWFC_SchedulePDP_hwcf,313.63,25.27,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,182408.65625,36.0,31.22,8.0,6.0,2142529673.44,784.0,36.0
24,1388176000.0,365491929.6,249840036.0,HWFC_SchedulePDP_hwcf,90.32,23.59,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,200968.65625,18.0,34.53,8.0,6.0,2003507965.6,784.0,18.0
25,1238543200.0,257858448.96,1008253983.87,HWFC_SchedulePDP_hwcf,1170.45,24.73,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,191104.5,112.0,48.83,8.0,6.0,2504655632.83,784.0,112.0
26,2198444800.0,548509382.4,184790352.0,HWFC_SchedulePDP_hwcf,37.91,24.6,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,331314.375,9.0,45.71,8.0,6.0,2931744534.4,784.0,9.0
27,1251264000.0,290188392.96,486106524.0,HWFC_SchedulePDP_hwcf,248.45,23.8,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,180575.5,36.0,49.8,8.0,6.0,2027558916.96,784.0,36.0
28,1247632000.0,475135609.92,238329756.0,HWCF_SchedulePDP_hwcf,118.43,23.23,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,208815.375,18.0,44.41,8.0,6.0,1961097365.92,784.0,18.0
29,1247632000.0,470574457.92,241951140.0,HWCF_SchedulePDP_hwcf,116.13,20.6,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,237028.34375,18.0,30.02,8.0,6.0,1960157597.92,784.0,18.0
30,1247632000.0,367397337.6,241758972.0,HWCF_SchedulePDP_hwcf,116.13,21.72,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,223694.25,18.0,47.04,8.0,6.0,1856788309.6,784.0,18.0
31,1116518400.0,286126736.64,818256190.5,HWCF_SchedulePDP_hwcf,718.12,20.45,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,246564.8125,56.0,30.23,8.0,6.0,2220901327.14,784.0,56.0
32,1137900800.0,308921579.52,467343684.0,HWCF_SchedulePDP_hwcf,300.62,20.08,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,239369.8125,36.0,31.71,8.0,6.0,1914166063.52,784.0,36.0
33,1116518400.0,397596244.8,807635146.5,HWCF_SchedulePDP_hwcf,806.95,21.98,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,229714.34375,56.0,24.04,8.0,6.0,2321749791.3,784.0,56.0
34,1135049600.0,302454892.8,538911603.0,HWCF_SchedulePDP_hwcf,462.99,22.91,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,209985.25,45.0,45.21,8.0,6.0,1976416095.8,784.0,45.0
35,1137900800.0,309688657.92,467150580.0,HWCF_SchedulePDP_hwcf,298.32,22.71,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,213115.25,36.0,45.43,8.0,6.0,1914740037.92,784.0,36.0
36,2057772800.0,549685006.08,207359424.0,HWCF_SchedulePDP_hwcf,89.39,23.46,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,332242.75,9.0,47.13,8.0,6.0,2814817230.08,784.0,9.0
37,1200633600.0,344767641.6,361874214.0,HWCF_SchedulePDP_hwcf,171.62,22.25,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,223648.25,27.0,45.58,8.0,6.0,1907275455.6,784.0,27.0
38,2057772800.0,644684567.04,207604032.0,HWCF_SchedulePDP_hwcf,90.3,24.11,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,334983.375,9.0,44.78,8.0,6.0,2910061399.04,784.0,9.0
39,1118268000.0,394014262.56,967353581.63,HWCF_SchedulePDP_hwcf,1172.74,25.4,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,206402.375,112.0,39.87,8.0,6.0,2479635844.19,784.0,112.0
40,2057772800.0,549042896.64,212210232.0,HWCF_SchedulePDP_hwcf,90.3,21.01,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,355673.3125,9.0,35.06,8.0,6.0,2819025928.64,784.0,9.0
41,1118268000.0,277748833.92,966117362.59,HWCF_SchedulePDP_hwcf,1170.45,23.38,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,224665.25,112.0,44.09,8.0,6.0,2362134196.51,784.0,112.0
42,1118268000.0,276981755.52,998339100.19,HWCF_SchedulePDP_hwcf,1172.74,20.52,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,255861.8125,112.0,29.83,8.0,6.0,2393588855.71,784.0,112.0
43,1200633600.0,452212248.0,362691450.0,HWCF_SchedulePDP_hwcf,220.45,21.05,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,236233.34375,27.0,27.34,8.0,6.0,2015537298.0,784.0,27.0
44,1135049600.0,416735346.24,642680541.0,HWCF_SchedulePDP_hwcf,523.07,24.8,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,196253.375,45.0,41.39,8.0,6.0,2194465487.24,784.0,45.0
45,1135049600.0,301687814.4,547492743.0,HWCF_SchedulePDP_hwcf,465.29,20.21,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,239437.8125,45.0,31.3,8.0,6.0,1984230157.4,784.0,45.0
46,1247632000.0,366637447.68,245098116.0,HWCF_SchedulePDP_hwcf,118.43,19.4,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,244895.8125,18.0,34.3,8.0,6.0,1859367563.68,784.0,18.0
47,1200633600.0,456849432.0,356730390.0,HWCF_SchedulePDP_hwcf,222.74,23.91,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,206827.375,27.0,42.41,8.0,6.0,2014213422.0,784.0,27.0
48,1137900800.0,422818225.92,527342220.0,HWCF_SchedulePDP_hwcf,336.74,24.55,224.0,56.0,84.0,mobilenet_v2,2.0,112.0,42.0,196448.375,36.0,41.73,8.0,6.0,2088061245.92,784.0,36.0
49,1137900800.0,418212145.92,536357196.0,HWCF_SchedulePDP_hwcf,334.45,21.51,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,225649.34375,36.0,26.04,8.0,6.0,2092470141.92,784.0,36.0
50,1118268000.0,389408182.56,1000527879.23,HWCF_SchedulePDP_hwcf,1170.45,22.07,224.0,56.0,42.0,mobilenet_v2,2.0,112.0,84.0,236127.34375,112.0,23.53,8.0,6.0,2508204061.79,784.0,112.0
51,1116518400.0,286893815.04,804983530.5,HWCF_SchedulePDP_hwcf,715.82,23.28,112.0,112.0,84.0,mobilenet_v2,2.0,56.0,42.0,218345.25,56.0,44.43,8.0,6.0,2208395745.54,784.0,56.0
52,1200633600.0,343995586.56,367411914.0,HWCF_SchedulePDP_hwcf,173.91,19.75,112.0,112.0,42.0,mobilenet_v2,2.0,56.0,84.0,249136.8125,27.0,32.3,8.0,6.0,1912041100.56,784.0,27.0
