,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,84.0,pdp,2.0,112.0,42.0,155.0,27.0,12.26,8.0,6.0,64632.0,784.0,27.0
1,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,84.0,pdp,2.0,112.0,42.0,155.0,112.0,12.26,8.0,6.0,64632.0,784.0,112.0
2,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,84.0,pdp,2.0,56.0,42.0,155.0,27.0,12.26,8.0,6.0,64632.0,784.0,27.0
3,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,84.0,pdp,2.0,112.0,42.0,155.0,18.0,12.26,8.0,6.0,64632.0,784.0,18.0
4,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,84.0,pdp,2.0,112.0,42.0,155.0,45.0,12.26,8.0,6.0,64632.0,784.0,45.0
5,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,42.0,pdp,2.0,112.0,84.0,155.0,36.0,12.26,8.0,6.0,64632.0,784.0,36.0
6,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,42.0,pdp,2.0,56.0,84.0,155.0,45.0,12.26,8.0,6.0,64632.0,784.0,45.0
7,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,42.0,pdp,2.0,56.0,84.0,155.0,18.0,12.26,8.0,6.0,64632.0,784.0,18.0
8,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,84.0,pdp,2.0,56.0,42.0,155.0,45.0,12.26,8.0,6.0,64632.0,784.0,45.0
9,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,42.0,pdp,2.0,112.0,84.0,155.0,18.0,12.26,8.0,6.0,64632.0,784.0,18.0
10,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,42.0,pdp,2.0,56.0,84.0,155.0,27.0,12.26,8.0,6.0,64632.0,784.0,27.0
11,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,42.0,pdp,2.0,112.0,84.0,155.0,45.0,12.26,8.0,6.0,64632.0,784.0,45.0
12,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,42.0,pdp,2.0,56.0,84.0,155.0,112.0,12.26,8.0,6.0,64632.0,784.0,112.0
13,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,84.0,pdp,2.0,112.0,42.0,155.0,9.0,12.26,8.0,6.0,64632.0,784.0,9.0
14,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,42.0,pdp,2.0,112.0,84.0,155.0,56.0,12.26,8.0,6.0,64632.0,784.0,56.0
15,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,84.0,pdp,2.0,56.0,42.0,155.0,56.0,12.26,8.0,6.0,64632.0,784.0,56.0
16,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,84.0,pdp,2.0,56.0,42.0,155.0,9.0,12.26,8.0,6.0,64632.0,784.0,9.0
17,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,42.0,pdp,2.0,112.0,84.0,155.0,9.0,12.26,8.0,6.0,64632.0,784.0,9.0
18,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,42.0,pdp,2.0,112.0,84.0,155.0,112.0,12.26,8.0,6.0,64632.0,784.0,112.0
19,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,84.0,pdp,2.0,56.0,42.0,155.0,18.0,12.26,8.0,6.0,64632.0,784.0,18.0
20,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,42.0,pdp,2.0,56.0,84.0,155.0,9.0,12.26,8.0,6.0,64632.0,784.0,9.0
21,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,42.0,pdp,2.0,112.0,84.0,155.0,27.0,12.26,8.0,6.0,64632.0,784.0,27.0
22,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,84.0,pdp,2.0,112.0,42.0,155.0,56.0,12.26,8.0,6.0,64632.0,784.0,56.0
23,HWFC_SchedulePDP_hwcf,0.48,1.29,224.0,56.0,84.0,pdp,2.0,112.0,42.0,155.0,36.0,12.26,8.0,6.0,64632.0,784.0,36.0
24,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,42.0,pdp,2.0,56.0,84.0,155.0,36.0,12.26,8.0,6.0,64632.0,784.0,36.0
25,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,84.0,pdp,2.0,56.0,42.0,155.0,112.0,12.26,8.0,6.0,64632.0,784.0,112.0
26,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,84.0,pdp,2.0,56.0,42.0,155.0,36.0,12.26,8.0,6.0,64632.0,784.0,36.0
27,HWFC_SchedulePDP_hwcf,0.48,1.29,112.0,112.0,42.0,pdp,2.0,56.0,84.0,155.0,56.0,12.26,8.0,6.0,64632.0,784.0,56.0
