,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,13995648000.0,3197706270.72,4775259217.92,HWFC_SchedulePDP_hwcf,1069.2,263.29,112.0,112.0,84.0,resnet50_1,0.0,56.0,42.0,968843.0,36.0,68.77,7.0,9.0,21968613488.64,784.0,36.0
1,11732710400.0,3194612275.2,2997181440.0,HWFC_SchedulePDP_hwcf,1089.87,243.43,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,767939.375,56.0,61.43,7.0,9.0,17924504115.2,784.0,56.0
2,11316249600.0,3194000701.44,3803097011.2,HWFC_SchedulePDP_hwcf,1069.2,178.98,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,745671.65625,36.0,74.41,7.0,9.0,18313347312.64,784.0,36.0
3,11732710400.0,3194612275.2,2997181440.0,HWFC_SchedulePDP_hwcf,1089.87,243.43,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,767939.375,45.0,61.43,7.0,9.0,17924504115.2,784.0,45.0
4,13529292800.0,4653421854.72,1404389376.0,HWFC_SchedulePDP_hwcf,262.99,225.25,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,913343.375,9.0,61.33,7.0,9.0,19587104030.72,784.0,9.0
5,13724979200.0,4653594746.88,1414259712.0,HWFC_SchedulePDP_hwcf,262.99,232.17,112.0,112.0,42.0,resnet50_1,0.0,56.0,84.0,931281.96875,9.0,67.08,7.0,9.0,19792833658.88,784.0,9.0
6,11732710400.0,3194612275.2,2997181440.0,HWFC_SchedulePDP_hwcf,1089.87,243.43,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,767939.375,36.0,61.43,7.0,9.0,17924504115.2,784.0,36.0
7,13820620800.0,4652796518.4,1384771584.0,HWFC_SchedulePDP_hwcf,242.32,175.95,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,958621.15625,9.0,73.29,7.0,9.0,19858188902.4,784.0,9.0
8,11316249600.0,3194000701.44,3803097011.2,HWFC_SchedulePDP_hwcf,1069.2,178.98,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,745671.65625,45.0,74.41,7.0,9.0,18313347312.64,784.0,45.0
9,12087961600.0,3492916654.08,2195149248.0,HWFC_SchedulePDP_hwcf,521.39,247.85,112.0,112.0,42.0,resnet50_1,0.0,56.0,84.0,798930.09375,18.0,67.35,7.0,9.0,17776027502.08,784.0,18.0
10,11732710400.0,3194612275.2,2997181440.0,HWFC_SchedulePDP_hwcf,1089.87,243.43,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,767939.375,112.0,61.43,7.0,9.0,17924504115.2,784.0,112.0
11,11928396800.0,3194781726.72,3030058368.0,HWFC_SchedulePDP_hwcf,1089.87,252.26,112.0,112.0,42.0,resnet50_1,0.0,56.0,84.0,785311.09375,45.0,67.29,7.0,9.0,18153236894.72,784.0,45.0
12,13995648000.0,3197706270.72,4775259217.92,HWFC_SchedulePDP_hwcf,1069.2,263.29,112.0,112.0,84.0,resnet50_1,0.0,56.0,42.0,968843.0,45.0,68.77,7.0,9.0,21968613488.64,784.0,45.0
13,14243686400.0,3495849553.92,4804558862.08,HWFC_SchedulePDP_hwcf,945.16,260.56,112.0,112.0,84.0,resnet50_1,0.0,56.0,42.0,989913.0,27.0,68.6,7.0,9.0,22544094816.0,784.0,27.0
14,11892275200.0,3492747202.56,3014498592.0,HWFC_SchedulePDP_hwcf,965.84,239.27,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,781948.375,27.0,61.31,7.0,9.0,18399520994.56,784.0,27.0
15,13995648000.0,3197706270.72,4775259217.92,HWFC_SchedulePDP_hwcf,1069.2,263.29,112.0,112.0,84.0,resnet50_1,0.0,56.0,42.0,968843.0,112.0,68.77,7.0,9.0,21968613488.64,784.0,112.0
16,11892275200.0,3492747202.56,2173231296.0,HWFC_SchedulePDP_hwcf,521.39,239.27,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,781558.375,18.0,61.31,7.0,9.0,17558253698.56,784.0,18.0
17,11928396800.0,3194781726.72,3030058368.0,HWFC_SchedulePDP_hwcf,1089.87,252.26,112.0,112.0,42.0,resnet50_1,0.0,56.0,84.0,785311.09375,56.0,67.29,7.0,9.0,18153236894.72,784.0,56.0
