,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,16764240000.0,4251461241.6,9543980292.16,HWFC_SchedulePDP_hwcf,795.1,54.32,112.0,112.0,84.0,xception,2.0,56.0,42.0,1672370.6875,27.0,50.43,8.0,6.0,30559681533.76,784.0,27.0
1,13644272000.0,4104549769.92,6686827381.5,HWFC_SchedulePDP_hwcf,797.4,40.67,224.0,56.0,84.0,xception,2.0,112.0,42.0,1641867.0,27.0,37.62,8.0,6.0,24435649151.42,784.0,27.0
2,12587486400.0,3491549517.12,10031889290.4,HWFC_SchedulePDP_hwcf,1662.45,40.26,224.0,56.0,84.0,xception,2.0,112.0,42.0,1535170.25,56.0,37.01,8.0,6.0,26110925207.52,784.0,56.0
3,31491377600.0,7472078526.72,2410728528.0,HWFC_SchedulePDP_hwcf,102.59,57.46,112.0,112.0,84.0,xception,2.0,56.0,42.0,2901443.9375,9.0,50.16,8.0,6.0,41374184654.72,784.0,9.0
4,14150158400.0,4294892416.32,4369884051.0,HWFC_SchedulePDP_hwcf,352.95,41.63,224.0,56.0,84.0,xception,2.0,112.0,42.0,1654112.25,18.0,38.06,8.0,6.0,22814934867.32,784.0,18.0
5,13456425600.0,3966363433.92,8201063823.18,HWFC_SchedulePDP_hwcf,795.1,42.5,224.0,56.0,42.0,xception,2.0,112.0,84.0,1481942.40625,27.0,19.61,8.0,6.0,25623852857.1,784.0,27.0
6,28183563200.0,7030823831.04,1965632640.0,HWFC_SchedulePDP_hwcf,92.26,45.95,224.0,56.0,42.0,xception,2.0,112.0,84.0,2985267.53125,9.0,21.3,8.0,6.0,37180019671.04,784.0,9.0
7,12562132800.0,3503931343.68,8175407137.22,HWFC_SchedulePDP_hwcf,1103.7,43.11,224.0,56.0,42.0,xception,2.0,112.0,84.0,1354215.90625,45.0,18.74,8.0,6.0,24241471280.9,784.0,45.0
8,28371409600.0,7126343831.04,2264606832.0,HWFC_SchedulePDP_hwcf,94.55,48.67,224.0,56.0,84.0,xception,2.0,112.0,42.0,2819348.25,9.0,36.36,8.0,6.0,37762360263.04,784.0,9.0
9,15707454400.0,3597380751.36,10779488797.6,HWFC_SchedulePDP_hwcf,1577.43,55.29,112.0,112.0,84.0,xception,2.0,56.0,42.0,1557297.1875,56.0,50.2,8.0,6.0,30084323948.96,784.0,56.0
10,15148344000.0,3573072414.72,8983418702.02,HWFC_SchedulePDP_hwcf,1455.66,50.38,112.0,112.0,42.0,xception,2.0,56.0,84.0,1602751.5,56.0,27.66,8.0,6.0,27704835116.74,784.0,56.0
11,16711016000.0,4414723349.76,4762397739.0,HWFC_SchedulePDP_hwcf,352.95,48.53,112.0,112.0,42.0,xception,2.0,56.0,84.0,1828015.0,18.0,28.71,8.0,6.0,25888137088.760002,784.0,18.0
12,15310836800.0,3736752299.52,8881054204.58,HWFC_SchedulePDP_hwcf,1117.96,50.33,112.0,112.0,42.0,xception,2.0,56.0,84.0,1614228.5,45.0,27.96,8.0,6.0,27928643304.100002,784.0,45.0
13,17270126400.0,4437081642.24,4218684915.0,HWFC_SchedulePDP_hwcf,350.66,54.91,112.0,112.0,84.0,xception,2.0,56.0,42.0,1691566.6875,18.0,50.81,8.0,6.0,25925892957.239998,784.0,18.0
14,13962312000.0,4166291008.32,3619217874.0,HWFC_SchedulePDP_hwcf,350.66,42.84,224.0,56.0,42.0,xception,2.0,112.0,84.0,1522158.28125,18.0,20.76,8.0,6.0,21747820882.32,784.0,18.0
15,12382933600.0,3259444987.68,9828972501.36,HWFC_SchedulePDP_hwcf,2192.45,42.91,224.0,56.0,42.0,xception,2.0,112.0,84.0,1406224.03125,112.0,18.09,8.0,6.0,25471351089.04,784.0,112.0
16,15952206400.0,3834104843.52,9506877664.96,HWFC_SchedulePDP_hwcf,984.51,55.24,112.0,112.0,84.0,xception,2.0,56.0,42.0,1568432.6875,36.0,50.33,8.0,6.0,29293188908.48,784.0,36.0
17,12570780000.0,3401613499.68,10087116190.32,HWFC_SchedulePDP_hwcf,2194.74,40.1,224.0,56.0,84.0,xception,2.0,112.0,42.0,1599726.0,112.0,36.91,8.0,6.0,26059509690.0,784.0,112.0
18,12644392000.0,3582128156.16,8161929987.12,HWFC_SchedulePDP_hwcf,887.26,42.91,224.0,56.0,42.0,xception,2.0,112.0,84.0,1370081.78125,36.0,18.92,8.0,6.0,24388450143.28,784.0,36.0
19,12399640000.0,3350760333.12,9778061044.64,HWFC_SchedulePDP_hwcf,1660.15,42.99,224.0,56.0,42.0,xception,2.0,112.0,84.0,1345865.28125,56.0,18.28,8.0,6.0,25528461377.76,784.0,56.0
20,15869947200.0,3760542205.44,10672626738.08,HWFC_SchedulePDP_hwcf,1239.74,55.53,112.0,112.0,84.0,xception,2.0,56.0,42.0,1556078.1875,45.0,50.36,8.0,6.0,30303116143.52,784.0,45.0
21,12749979200.0,3641480335.68,8057288326.34,HWFC_SchedulePDP_hwcf,1106.0,40.64,224.0,56.0,84.0,xception,2.0,112.0,42.0,1530289.875,45.0,37.19,8.0,6.0,24448747862.02,784.0,45.0
22,15690748000.0,3501602935.68,10834397870.96,HWFC_SchedulePDP_hwcf,2192.45,55.11,112.0,112.0,84.0,xception,2.0,56.0,42.0,1593146.1875,112.0,50.07,8.0,6.0,30026748806.64,784.0,112.0
23,16205129600.0,4227569360.64,7285406365.5,HWFC_SchedulePDP_hwcf,797.4,48.56,112.0,112.0,42.0,xception,2.0,56.0,84.0,1774318.25,27.0,27.92,8.0,6.0,27718105326.14,784.0,27.0
24,15393096000.0,3810352907.52,7249294362.0,HWFC_SchedulePDP_hwcf,889.56,50.01,112.0,112.0,42.0,xception,2.0,56.0,84.0,1630101.0,36.0,28.03,8.0,6.0,26452743269.52,784.0,36.0
25,15131637600.0,3477073906.56,10991042627.44,HWFC_SchedulePDP_hwcf,2194.74,50.29,112.0,112.0,42.0,xception,2.0,56.0,84.0,1635666.5,112.0,27.47,8.0,6.0,29599754134.000004,784.0,112.0
26,12832238400.0,3719439836.16,6650850486.0,HWFC_SchedulePDP_hwcf,889.56,40.52,224.0,56.0,84.0,xception,2.0,112.0,42.0,1545984.75,36.0,37.22,8.0,6.0,23202528722.16,784.0,36.0
27,30932267200.0,7455013259.52,2417784816.0,HWFC_SchedulePDP_hwcf,94.55,47.0,112.0,112.0,42.0,xception,2.0,56.0,84.0,3637000.25,9.0,27.61,8.0,6.0,40805065275.520004,784.0,9.0
28,8842420800.0,3834104843.52,8580511495.68,HWCF_SchedulePDP_hwcf,1354.01,30.38,112.0,112.0,84.0,xception,2.0,56.0,42.0,1456255.6875,36.0,43.47,8.0,6.0,21257037139.2,784.0,36.0
29,9654454400.0,4227569360.64,7112368412.62,HWCF_SchedulePDP_hwcf,1103.71,29.66,112.0,112.0,42.0,xception,2.0,56.0,84.0,1651655.5,27.0,21.66,8.0,6.0,20994392173.26,784.0,27.0
30,8760161600.0,3641480335.68,6992961814.5,HWCF_SchedulePDP_hwcf,1220.27,28.89,224.0,56.0,84.0,xception,2.0,112.0,42.0,1484039.0,45.0,32.04,8.0,6.0,19394603750.18,784.0,45.0
31,8842420800.0,3582128156.16,7436585047.92,HWCF_SchedulePDP_hwcf,1064.51,26.8,224.0,56.0,42.0,xception,2.0,112.0,84.0,1600860.15625,36.0,8.15,8.0,6.0,19861134004.08,784.0,36.0
32,24381592000.0,7455013259.52,2805841344.0,HWCF_SchedulePDP_hwcf,255.55,44.03,112.0,112.0,42.0,xception,2.0,56.0,84.0,3027889.25,9.0,21.25,8.0,6.0,34642446603.520004,784.0,9.0
33,10160340800.0,4414723349.76,5906003968.12,HWCF_SchedulePDP_hwcf,752.28,30.85,112.0,112.0,42.0,xception,2.0,56.0,84.0,1687450.0,18.0,22.49,8.0,6.0,20481068117.879997,784.0,18.0
34,24381592000.0,7126343831.04,2813886966.0,HWCF_SchedulePDP_hwcf,252.05,47.87,224.0,56.0,84.0,xception,2.0,112.0,42.0,2523669.75,9.0,31.85,8.0,6.0,34321822797.04,784.0,9.0
35,8580962400.0,3477073906.56,8682796619.12,HWCF_SchedulePDP_hwcf,2194.74,27.81,112.0,112.0,42.0,xception,2.0,56.0,84.0,1569188.75,112.0,21.19,8.0,6.0,20740832925.680004,784.0,112.0
36,24381592000.0,7472078526.72,2636614902.0,HWCF_SchedulePDP_hwcf,263.76,52.16,112.0,112.0,84.0,xception,2.0,56.0,42.0,2431064.5625,9.0,43.51,8.0,6.0,34490285428.72,784.0,9.0
37,8580962400.0,3259444987.68,8814962898.8,HWCF_SchedulePDP_hwcf,2192.45,26.18,224.0,56.0,42.0,xception,2.0,112.0,84.0,1628260.78125,112.0,7.15,8.0,6.0,20655370286.48,784.0,112.0
38,8597668800.0,3491549517.12,8654711086.88,HWCF_SchedulePDP_hwcf,1662.45,28.26,224.0,56.0,84.0,xception,2.0,112.0,42.0,1491938.75,56.0,31.74,8.0,6.0,20743929403.999996,784.0,56.0
39,8760161600.0,3736752299.52,7091359078.02,HWCF_SchedulePDP_hwcf,1232.24,28.44,112.0,112.0,42.0,xception,2.0,56.0,84.0,1537638.25,45.0,21.84,8.0,6.0,19588272977.54,784.0,45.0
40,8580962400.0,3501602935.68,8740332702.96,HWCF_SchedulePDP_hwcf,2192.45,29.43,112.0,112.0,84.0,xception,2.0,56.0,42.0,1490024.4375,112.0,42.98,8.0,6.0,20822898038.64,784.0,112.0
41,10160340800.0,4294892416.32,5766629782.84,HWCF_SchedulePDP_hwcf,736.48,32.1,224.0,56.0,84.0,xception,2.0,112.0,42.0,1571759.5,18.0,33.2,8.0,6.0,20221862999.16,784.0,18.0
42,8597668800.0,3597380751.36,8691581883.68,HWCF_SchedulePDP_hwcf,1577.43,29.61,112.0,112.0,84.0,xception,2.0,56.0,42.0,1455679.4375,56.0,43.15,8.0,6.0,20886631435.04,784.0,56.0
43,9654454400.0,3966363433.92,7473994164.62,HWCF_SchedulePDP_hwcf,953.54,27.95,224.0,56.0,42.0,xception,2.0,112.0,84.0,1703570.03125,27.0,8.69,8.0,6.0,21094811998.54,784.0,27.0
44,24381592000.0,7030823831.04,2825258304.0,HWCF_SchedulePDP_hwcf,239.26,40.61,224.0,56.0,42.0,xception,2.0,112.0,84.0,3137110.03125,9.0,10.83,8.0,6.0,34237674135.04,784.0,9.0
45,8760161600.0,3503931343.68,7450062198.02,HWCF_SchedulePDP_hwcf,1217.98,26.77,224.0,56.0,42.0,xception,2.0,112.0,84.0,1588801.15625,45.0,7.94,8.0,6.0,19714155141.7,784.0,45.0
46,9654454400.0,4104549769.92,7016731764.54,HWCF_SchedulePDP_hwcf,1066.74,30.55,224.0,56.0,84.0,xception,2.0,112.0,42.0,1565881.375,27.0,32.51,8.0,6.0,20775735934.46,784.0,27.0
47,10160340800.0,4166291008.32,5889126242.0,HWCF_SchedulePDP_hwcf,686.77,29.05,224.0,56.0,42.0,xception,2.0,112.0,84.0,1738483.90625,18.0,9.91,8.0,6.0,20215758050.32,784.0,18.0
48,8580962400.0,3401613499.68,8703779732.72,HWCF_SchedulePDP_hwcf,2194.74,28.1,224.0,56.0,84.0,xception,2.0,112.0,42.0,1533990.625,112.0,31.59,8.0,6.0,20686355632.4,784.0,112.0
49,10160340800.0,4437081642.24,5381180346.68,HWCF_SchedulePDP_hwcf,797.4,33.74,112.0,112.0,84.0,xception,2.0,56.0,42.0,1536143.0625,18.0,44.08,8.0,6.0,19978602788.92,784.0,18.0
50,8597668800.0,3573072414.72,7178690962.34,HWCF_SchedulePDP_hwcf,1455.66,27.96,112.0,112.0,42.0,xception,2.0,56.0,84.0,1536206.75,56.0,21.47,8.0,6.0,19349432177.06,784.0,56.0
