,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
0,FCHWSchedule,85.89,10.71,7.0,conv1,21.0,697030.0,56.0,0.74,100.0,260685250.56,4900.0,56.0
1,FCHWSchedule,107.39,53.83,32.0,conv1,3.0,193864.0,56.0,17.45,100.0,1439711744.0,4900.0,56.0
2,FCHWSchedule,111.75,27.82,16.0,conv1,21.0,117924.0,56.0,11.26,100.0,457827584.0,4900.0,56.0
3,FCHWSchedule,205.38,4.65,3.0,conv1,140.0,814891.0,56.0,0.0,100.0,207548866.56,4900.0,56.0
4,FCHWSchedule,195.43,28.87,16.0,conv1,49.0,59312.0,56.0,16.51,100.0,367012672.0,4900.0,56.0
5,FCHWSchedule,79.73,7.76,5.0,conv1,21.0,1153282.0,56.0,0.0,100.0,272370401.28,4900.0,56.0
6,FCHWSchedule,119.9,54.37,32.0,conv1,7.0,88120.0,56.0,0.6,100.0,789645824.0,4900.0,56.0
7,FCHWSchedule,153.59,28.87,16.0,conv1,35.0,59312.0,56.0,16.5,100.0,360714112.0,4900.0,56.0
8,FCHWSchedule,42.92,10.72,7.0,conv1,7.0,1736800.0,56.0,0.0,100.0,506563952.64,4900.0,56.0
9,FCHWSchedule,27.58,3.11,2.0,conv1,7.0,16673920.0,56.0,0.0,100.0,559528796.16,4900.0,56.0
10,FCHWSchedule,126.63,14.44,8.0,conv1,35.0,213536.0,56.0,8.5,100.0,370582912.0,4900.0,56.0
11,FCHWSchedule,211.62,7.75,5.0,conv1,144.0,293098.0,56.0,1.0,100.0,160244613.12,4900.0,56.0
12,FCHWSchedule,214.75,9.27,6.0,conv1,144.0,212575.0,56.0,1.0,100.0,149707653.12,4900.0,56.0
13,FCHWSchedule,168.72,9.28,6.0,conv1,49.0,420530.0,56.0,0.98,100.0,193461125.12,4900.0,56.0
14,FCHWSchedule,208.5,6.21,4.0,conv1,144.0,438040.0,56.0,1.0,100.0,175937986.56,4900.0,56.0
