,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
0,FCHWSchedule,15.32,6.21,4.0,pw1,1.0,9548928.0,56.0,0.0,100.0,2491247381.76,4900.0,56.0
1,FCHWSchedule,220.64,3.11,2.0,pw1,70.0,748764.0,56.0,0.0,100.0,294041180.15999997,4900.0,56.0
2,FCHWSchedule,18.38,4.66,3.0,pw1,3.0,5456640.0,56.0,0.0,100.0,926960405.76,4900.0,56.0
3,FCHWSchedule,125.77,9.33,6.0,pw1,35.0,159000.0,56.0,0.8,100.0,216782684.16,4900.0,56.0
4,FCHWSchedule,181.51,7.74,32.0,pw1,35.0,15897.0,56.0,2.8,100.0,140950272.0,4900.0,56.0
5,FCHWSchedule,33.71,6.22,4.0,pw1,7.0,1392552.0,56.0,0.0,100.0,473124395.52,4900.0,56.0
6,FCHWSchedule,76.64,6.22,4.0,pw1,21.0,466242.0,56.0,0.0,100.0,267162286.07999998,4900.0,56.0
7,FCHWSchedule,223.77,4.67,3.0,pw1,70.0,345576.0,56.0,0.0,100.0,246624860.16,4900.0,56.0
8,FCHWSchedule,30.65,4.67,3.0,pw1,7.0,2387280.0,56.0,0.0,100.0,483962411.52,4900.0,56.0
9,FCHWSchedule,444.75,7.67,5.0,pw1,140.0,96725.0,56.0,0.51,100.0,223176192.0,4900.0,56.0
10,FCHWSchedule,159.39,4.67,3.0,pw1,49.0,345576.0,56.0,0.0,100.0,246624860.16,4900.0,56.0
11,FCHWSchedule,431.95,1.55,1.0,pw1,140.0,1934652.0,56.0,0.0,100.0,534189788.16,4900.0,56.0
12,FCHWSchedule,224.71,12.82,32.0,pw1,49.0,9597.0,56.0,2.99,100.0,144111360.0,4900.0,56.0
13,FCHWSchedule,165.61,7.67,5.0,pw1,49.0,143985.0,56.0,0.96,100.0,211062620.16,4900.0,56.0
14,FCHWSchedule,67.4,1.56,1.0,pw1,21.0,6661032.0,56.0,0.0,100.0,425632811.52,4900.0,56.0
15,FCHWSchedule,79.73,7.67,5.0,pw1,21.0,333025.0,56.0,0.13,100.0,258356398.07999998,4900.0,56.0
16,FCHWSchedule,138.3,5.54,32.0,pw1,21.0,22197.0,56.0,2.14,100.0,142892728.32,4900.0,56.0
17,FCHWSchedule,236.29,10.26,7.0,pw1,70.0,95988.0,56.0,0.9,100.0,199303096.32,4900.0,56.0
18,FCHWSchedule,199.83,20.74,16.0,pw1,49.0,28794.0,56.0,1.66,100.0,186071040.0,4900.0,56.0
19,FCHWSchedule,131.96,12.44,8.0,pw1,35.0,95397.0,56.0,1.0,100.0,216199864.32,4900.0,56.0
20,FCHWSchedule,70.55,20.74,16.0,pw1,7.0,198912.0,56.0,0.05,100.0,469095598.08,4900.0,56.0
21,FCHWSchedule,73.56,4.67,3.0,pw1,21.0,799288.0,56.0,0.0,100.0,284750423.03999996,4900.0,56.0
22,FCHWSchedule,70.48,3.11,2.0,pw1,21.0,1731828.0,56.0,0.0,100.0,319973975.04,4900.0,56.0
23,FCHWSchedule,217.51,1.56,1.0,pw1,70.0,2879928.0,56.0,0.0,100.0,436242862.08000004,4900.0,56.0
24,FCHWSchedule,52.08,20.7,16.0,pw1,1.0,1363968.0,56.0,0.0,100.0,2542727957.76,4900.0,56.0
25,FCHWSchedule,116.48,4.67,3.0,pw1,35.0,572432.0,56.0,0.0,100.0,251958958.07999998,4900.0,56.0
26,FCHWSchedule,24.51,10.25,7.0,pw1,1.0,4546944.0,56.0,0.0,100.0,2480409365.76,4900.0,56.0
27,FCHWSchedule,76.59,0.27,32.0,pw1,1.0,454608.0,56.0,0.0,100.0,337009451.52,4900.0,56.0
28,FCHWSchedule,42.92,10.27,7.0,pw1,7.0,663096.0,56.0,0.04,100.0,462298199.04,4900.0,56.0
29,FCHWSchedule,18.38,7.66,5.0,pw1,1.0,6820560.0,56.0,0.0,100.0,2485828373.76,4900.0,56.0
30,FCHWSchedule,463.42,10.26,7.0,pw1,144.0,32976.0,56.0,0.9,100.0,190342272.0,4900.0,56.0
31,FCHWSchedule,457.02,7.67,5.0,pw1,144.0,49465.0,56.0,1.0,100.0,206768640.0,4900.0,56.0
32,FCHWSchedule,85.89,10.27,7.0,pw1,21.0,222012.0,56.0,0.9,100.0,249597788.16,4900.0,56.0
33,FCHWSchedule,517.88,37.31,32.0,pw1,144.0,3297.0,56.0,2.97,100.0,150320640.0,4900.0,56.0
34,FCHWSchedule,453.81,6.22,4.0,pw1,144.0,69252.0,56.0,1.0,100.0,223195008.0,4900.0,56.0
35,FCHWSchedule,168.72,9.33,6.0,pw1,49.0,95988.0,56.0,1.0,100.0,199303096.32,4900.0,56.0
36,FCHWSchedule,58.23,20.71,16.0,pw1,3.0,454656.0,56.0,0.67,100.0,924268631.04,4900.0,56.0
37,FCHWSchedule,450.61,4.66,3.0,pw1,144.0,118720.0,56.0,0.0,100.0,255054904.32,4900.0,56.0
38,FCHWSchedule,27.58,3.11,2.0,pw1,7.0,5172552.0,56.0,0.0,100.0,505632533.76,4900.0,56.0
39,FCHWSchedule,82.81,9.33,6.0,pw1,21.0,222012.0,56.0,1.0,100.0,249550510.07999998,4900.0,56.0
40,FCHWSchedule,128.86,10.26,7.0,pw1,35.0,159000.0,56.0,0.9,100.0,216782684.16,4900.0,56.0
41,FCHWSchedule,15.32,3.11,2.0,pw1,3.0,11822976.0,56.0,0.0,100.0,948636437.76,4900.0,56.0
42,FCHWSchedule,113.38,3.11,2.0,pw1,35.0,1240296.0,56.0,0.0,100.0,287182510.08,4900.0,56.0
43,FCHWSchedule,95.1,1.86,32.0,pw1,7.0,66297.0,56.0,0.1,100.0,156571484.16,4900.0,56.0
44,FCHWSchedule,12.25,4.66,3.0,pw1,1.0,16369920.0,56.0,0.0,100.0,2502085397.76,4900.0,56.0
45,FCHWSchedule,447.41,3.11,2.0,pw1,144.0,257232.0,56.0,0.0,100.0,320760376.32,4900.0,56.0
46,FCHWSchedule,435.15,3.11,2.0,pw1,140.0,502998.0,56.0,0.0,100.0,337167928.32,4900.0,56.0
47,FCHWSchedule,36.78,7.67,5.0,pw1,7.0,994665.0,56.0,0.0,100.0,467717207.04,4900.0,56.0
48,FCHWSchedule,21.45,6.21,4.0,pw1,3.0,3182976.0,56.0,0.0,100.0,916122389.76,4900.0,56.0
49,FCHWSchedule,153.17,1.56,1.0,pw1,49.0,2879928.0,56.0,0.0,100.0,436219223.03999996,4900.0,56.0
50,FCHWSchedule,233.16,9.33,6.0,pw1,70.0,95988.0,56.0,0.67,100.0,199303096.32,4900.0,56.0
51,FCHWSchedule,30.65,10.25,7.0,pw1,3.0,1515648.0,56.0,0.0,100.0,905290283.52,4900.0,56.0
52,FCHWSchedule,171.83,10.26,7.0,pw1,49.0,95988.0,56.0,0.9,100.0,199303096.32,4900.0,56.0
53,FCHWSchedule,289.52,12.82,32.0,pw1,70.0,9597.0,56.0,2.67,100.0,144111360.0,4900.0,56.0
54,FCHWSchedule,226.9,6.22,4.0,pw1,70.0,201582.0,56.0,0.67,100.0,223011256.32,4900.0,56.0
