,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
0,FCHWSchedule,928.0,245.13,128.0,resnet50-pc-1,128.0,28160.0,56.0,26.69,100.0,1095685536.0,4900.0,56.0
1,FCHWSchedule,408.75,173.96,128.0,resnet50-pc-1,4.0,656127.0,56.0,15.1,100.0,8268287744.0,4900.0,56.0
2,FCHWSchedule,102.19,224.7,128.0,resnet50-pc-1,1.0,3214336.0,28.0,4.22,100.0,37140981504.0,4900.0,28.0
3,FCHWSchedule,366.0,218.52,128.0,resnet50-pc-1,64.0,53248.0,28.0,25.41,100.0,1476314016.0,4900.0,28.0
4,FCHWSchedule,396.19,171.97,128.0,resnet50-pc-1,1.0,2607657.0,56.0,4.24,100.0,30879313664.0,4900.0,56.0
5,FCHWSchedule,660.0,209.04,128.0,resnet50-pc-1,64.0,47400.0,56.0,25.13,100.0,1272702656.0,4900.0,56.0
6,FCHWSchedule,131.5,223.95,128.0,resnet50-pc-1,8.0,404480.0,28.0,15.06,100.0,5339834112.0,4900.0,28.0
7,FCHWSchedule,425.5,176.17,128.0,resnet50-pc-1,8.0,331040.0,56.0,15.11,100.0,4499783424.0,4900.0,56.0
8,FCHWSchedule,114.75,225.34,128.0,resnet50-pc-1,4.0,805888.0,28.0,15.02,100.0,9882855168.0,4900.0,28.0
9,FCHWSchedule,634.0,213.46,128.0,resnet50-pc-1,128.0,28160.0,28.0,27.33,100.0,1288054128.0,4900.0,28.0
10,HWFCSchedule,52.03,173.67,128.0,resnet50-pc-1,8.0,256173.0,18.0,17.78,100.0,4737636864.0,4900.0,18.0
11,HWFCSchedule,73.69,521.45,128.0,resnet50-pc-1,64.0,1048048.0,3.0,36.38,100.0,17833270784.0,4900.0,3.0
12,HWFCSchedule,9.14,151.91,128.0,resnet50-pc-1,4.0,691840.0,6.0,19.68,100.0,11361789870.08,4900.0,6.0
13,HWFCSchedule,46.27,161.92,128.0,resnet50-pc-1,4.0,479236.0,18.0,17.61,100.0,7752124928.0,4900.0,18.0
14,HWFCSchedule,11.33,124.56,128.0,resnet50-pc-1,1.0,1982843.0,9.0,5.17,100.0,26651122165.76,4900.0,9.0
15,HWFCSchedule,660.0,213.17,128.0,resnet50-pc-1,64.0,34600.0,56.0,28.4,100.0,1229286976.0,4900.0,56.0
16,HWFCSchedule,99.89,159.39,128.0,resnet50-pc-1,1.0,1806556.0,28.0,4.71,100.0,26325640192.0,4900.0,28.0
17,HWFCSchedule,113.12,169.65,128.0,resnet50-pc-1,8.0,232760.0,28.0,17.1,100.0,4122960896.0,4900.0,28.0
18,HWFCSchedule,408.75,163.89,128.0,resnet50-pc-1,4.0,455167.0,56.0,17.15,100.0,8227681024.0,4900.0,56.0
19,HWFCSchedule,396.19,161.17,128.0,resnet50-pc-1,1.0,1804585.0,56.0,4.74,100.0,30838706944.0,4900.0,56.0
20,HWFCSchedule,78.75,473.32,128.0,resnet50-pc-1,64.0,313184.0,6.0,34.55,100.0,6428506112.0,4900.0,6.0
21,HWFCSchedule,132.75,325.68,128.0,resnet50-pc-1,64.0,76640.0,18.0,30.83,100.0,2287228928.0,4900.0,18.0
22,HWFCSchedule,41.94,148.1,128.0,resnet50-pc-1,1.0,1852922.0,18.0,4.85,100.0,25831242199.04,4900.0,18.0
23,HWFCSchedule,340.0,244.7,128.0,resnet50-pc-1,128.0,23168.0,28.0,31.0,100.0,1235518976.0,4900.0,28.0
24,HWFCSchedule,105.56,164.56,128.0,resnet50-pc-1,4.0,457012.0,28.0,17.05,100.0,7294772224.0,4900.0,28.0
25,HWFCSchedule,146.25,122.13,128.0,resnet50-pc-1,128.0,255858.0,3.0,38.36,100.0,6995381760.0,4900.0,3.0
26,HWFCSchedule,5.66,137.96,128.0,resnet50-pc-1,4.0,1535568.0,3.0,22.42,100.0,22073924894.72,4900.0,3.0
27,HWFCSchedule,13.78,187.61,128.0,resnet50-pc-1,8.0,489360.0,6.0,20.02,100.0,8469606236.16,4900.0,6.0
28,HWFCSchedule,225.0,199.7,128.0,resnet50-pc-1,128.0,30076.0,18.0,33.73,100.0,1784857344.0,4900.0,18.0
29,HWFCSchedule,164.25,157.4,128.0,resnet50-pc-1,128.0,48733.0,9.0,36.24,100.0,2713622784.0,4900.0,9.0
30,HWFCSchedule,219.0,244.63,128.0,resnet50-pc-1,64.0,42624.0,28.0,28.76,100.0,1442756608.0,4900.0,28.0
31,HWFCSchedule,14.94,155.41,128.0,resnet50-pc-1,4.0,546496.0,9.0,18.92,100.0,9218009815.04,4900.0,9.0
